Date,Open,Close
2007-10-19,23.19,23.21
2007-10-18,23.12,23.14
2007-10-17,22.86,23.27
2007-10-16,22.75,22.86
2007-10-15,22.79,22.97
2007-10-12,22.76,22.75
2007-10-11,22.9101,22.86
2007-10-10,22.78,23.2
2007-10-09,22.59,22.9
2007-10-08,22.7,22.5001
2007-10-05,22.67,22.57
2007-10-04,22.79,22.7
2007-10-03,22.69,22.75
2007-10-02,22.58,22.51
2007-10-01,22.49,22.6
2007-09-28,22.6,22.5
2007-09-27,22.86,22.63
2007-09-26,22.75,22.7
2007-09-25,23.09,22.75
2007-09-25,23.09,22.75
2007-09-24,23.15,22.94
2007-09-21,22.95,23.36
2007-09-20,23.13,22.87
2007-09-19,23.2,23.13
2007-09-18,23.28,23.39
2007-09-17,23.01,23.15
2007-09-14,23.1999,22.96
2007-09-13,23.19,23.05
2007-09-12,23.45,23.15
2007-09-11,23.26,23.314
2007-09-10,23.3,23.39
2007-09-07,23.0,23.16
2007-09-06,23.0,23.01
2007-09-05,23.04,23.11
2007-09-04,23.18,23.19
2007-08-31,23.05,23.05
2007-08-30,22.71,22.99
2007-08-29,22.85,22.8
2007-08-28,23.04,22.85
2007-08-27,23.09,23.19
2007-08-24,23.15,23.24
2007-08-23,22.65,23.04
2007-08-22,22.17,22.5
2007-08-21,22.25,22.55
2007-08-20,22.43,22.44
2007-08-17,22.0,22.65
2007-08-16,20.85,22.0
2007-08-15,21.43,21.15
2007-08-14,22.45,21.55
2007-08-13,22.29,22.5
2007-08-10,22.85,22.35
2007-08-09,22.75,22.7
2007-08-09,22.75,22.7
2007-08-08,22.67,22.7
2007-08-07,22.78,22.62
2007-08-06,23.27,22.73
2007-08-03,23.52,23.35
2007-08-02,23.16,23.27
2007-08-01,23.35,23.35
2007-07-31,23.1,23.4
2007-07-30,23.2,23.1
2007-07-27,23.15,23.25
2007-07-26,23.2,23.1
2007-07-25,23.41,23.42
2007-07-24,23.74,23.45
2007-07-23,23.91,23.75
2007-07-20,23.95,23.96
2007-07-19,24.12,24.02
2007-07-18,24.25,24.13
2007-07-17,24.06,24.2
2007-07-16,24.1,24.11
2007-07-13,24.01,24.15
2007-07-12,23.84,24.06
2007-07-11,24.0,23.98
2007-07-10,23.84,23.94
2007-07-09,23.62,23.84
2007-07-06,23.66,23.67
2007-07-05,23.59,23.61
2007-07-03,23.61,23.63
2007-07-02,23.52,23.68
2007-06-29,23.45,23.6
2007-06-28,23.49,23.54
2007-06-27,23.34,23.47
2007-06-26,23.32,23.35
2007-06-25,23.35,23.3
2007-06-22,23.5,23.4
2007-06-22,23.5,23.4
2007-06-21,23.75,23.59
2007-06-20,23.84,23.78
2007-06-19,23.91,23.88
2007-06-18,24.27,23.93
2007-06-15,24.0,24.05
2007-06-14,23.72,23.8
2007-06-13,23.93,23.84
2007-06-12,24.0,23.98
2007-06-11,24.4,24.45
2007-06-08,24.48,24.47
2007-06-07,24.7,24.58
2007-06-06,24.87,24.78
2007-06-05,24.92,24.87
2007-06-04,24.94,24.94
2007-06-01,24.94,24.94
2007-05-31,24.94,24.97
2007-05-30,25.01,25.0
2007-05-29,25.07,24.97
2007-05-25,24.86,25.07
2007-05-24,24.99,24.879
2007-05-23,24.91,24.96
2007-05-22,25.03,24.91
2007-05-21,24.94,24.95
2007-05-18,24.97,25.0
2007-05-17,24.92,24.95
2007-05-16,24.95,24.96
2007-05-15,24.94,24.95
2007-05-14,24.95,24.93
2007-05-11,25.05,25.03
2007-05-10,25.03,25.03
2007-05-09,25.06,25.04
2007-05-08,25.03,25.0
2007-05-08,25.03,25.0
2007-05-07,25.04,25.03
2007-05-04,25.02,25.04
2007-05-03,25.01,25.02
2007-05-02,25.11,25.06
2007-05-01,25.08,25.04
2007-04-30,25.13,25.09
2007-04-27,25.12,25.12
2007-04-26,25.12,25.14
2007-04-25,25.07,25.09
2007-04-24,25.07,25.09
2007-04-23,25.05,25.05
2007-04-20,25.05,25.1
2007-04-19,25.04,25.02
2007-04-18,25.01,25.03
2007-04-17,25.01,25.02
2007-04-16,25.0,25.0
2007-04-13,25.04,25.0
2007-04-12,25.03,25.01
2007-04-11,25.01,25.02
2007-04-10,25.02,25.06
2007-04-09,25.01,25.03
2007-04-05,25.07,25.07
2007-04-04,25.03,25.07
2007-04-03,25.08,25.05
2007-04-02,25.04,25.02
2007-03-30,24.96,25.0
2007-03-29,24.91,24.94
2007-03-28,24.88,24.95
2007-03-27,24.98,24.97
2007-03-26,25.0,24.99
2007-03-23,24.95,25.03
2007-03-22,24.98,25.02
2007-03-21,25.01,25.0
2007-03-21,25.01,25.0
2007-03-20,25.03,25.03
2007-03-19,25.12,25.09
2007-03-16,25.17,25.12
2007-03-15,25.05,25.03
2007-03-14,24.87,25.05
2007-03-13,24.97,24.94
2007-03-12,24.98,24.98
2007-03-09,25.14,25.26
2007-03-08,25.17,25.25
2007-03-07,25.14,25.17
2007-03-06,25.11,25.14
2007-03-05,25.11,25.2
2007-03-02,25.13,25.15
2007-03-01,25.11,25.17
2007-02-28,25.09,25.14
2007-02-27,25.16,25.17
2007-02-26,25.15,25.15
2007-02-23,25.16,25.13
2007-02-22,25.15,25.15
2007-02-21,25.2,25.2
2007-02-20,25.16,25.201
2007-02-16,25.07,25.11
2007-02-15,25.05,25.12
2007-02-14,25.02,25.04
2007-02-13,25.12,25.08
2007-02-12,25.12,25.13
2007-02-09,25.12,25.15
2007-02-08,25.12,25.13
2007-02-07,25.19,25.11
2007-02-06,25.16,25.19
2007-02-05,25.19,25.16
2007-02-02,25.0,25.16
2007-02-02,25.0,25.16
2007-02-01,24.98,25.0
2007-01-30,25.0,25.0
2007-01-29,25.01,24.95
2007-01-25,25.08,25.01
2007-01-24,25.03,25.06
2007-01-23,25.03,25.04
2007-01-22,25.12,25.1
2007-01-19,25.1,25.1
2007-01-17,25.13,25.15
2007-01-16,25.05,25.12
2007-01-12,25.07,25.12
2007-01-11,25.1,25.06
2007-01-09,25.12,25.15
2007-01-08,25.11,25.14
2007-01-05,25.04,25.15
2007-01-04,25.06,25.1
2007-01-03,25.09,25.09
